Subject,Group,RT,Response,Audio,Speaker,Word,Vowel,Tone,Mode,Acc,Location,QuadraticTerm,LinearTerm,DF,Endingpoint,Tvalue_min,Duration,Mean_F0,musicaltraining,Gender,Assign
S07,native,1104.2,Tone 2,normal019_拔-a-Tone_2.mp3,speaker019,拔,a,Tone 2,normal,1,12,0.006571484,-0.064138306,0.187084512,3.388408056,2.177464443,0.34,200.4924052,0,1,0
S07,native,4544.6,Tone 3,normal018_底-i-Tone_3.mp3,speaker018,底,i,Tone 3,normal,1,10,0.007184905,-0.162558023,1.688322535,0.768577473,0.228862515,0.409,92.99798527,0,1,1
S07,native,86188.3,Tone 2,normal018_咳-e-Tone_2.mp3,speaker018,咳,e,Tone 2,normal,1,8,0.007184905,-0.162558023,1.383340988,1.236325982,0.781939787,0.162,112.526763,0,1,0
S07,native,2565.7,Tone 3,normal022_底-i-Tone_3.mp3,speaker022,底,i,Tone 3,normal,1,12,0.006429356,-0.051767919,3.735708031,3.044032909,0,0.564,176.0476722,0,1,1
S07,native,1317.3,Tone 2,normal018_敌-i-Tone_2.mp3,speaker018,敌,i,Tone 2,normal,1,8,0.007184905,-0.162558023,1.381526869,1.641006899,0.785229651,0.239,118.393254,0,1,0
S07,native,1552.7,Tone 3,normal019_五-u-Tone_3.mp3,speaker019,五,u,Tone 3,normal,1,13,0.003230937,-0.013150883,0.591263579,2.322187462,1.618232655,0.405,179.0901946,0,1,1
S07,native,1453.7,Tone 3,normal019_底-i-Tone_3.mp3,speaker019,底,i,Tone 3,normal,1,12,0.006571484,-0.064138306,0.424110771,2.516574053,1.785793354,0.493,189.0015339,0,1,1
S07,native,1379,Tone 2,normal018_无-u-Tone_2.mp3,speaker018,无,u,Tone 2,normal,1,7,0.007184905,-0.162558023,1.423370974,2.34980137,0.709346294,0.292,122.6917222,0,1,0
S07,native,1440.8,Tone 3,normal019_渴-e-Tone_3.mp3,speaker019,渴,e,Tone 3,normal,1,11,0.006571484,-0.064138306,0.656004124,2.349391434,1.40260407,0.414,179.21194,0,1,1
S07,native,1153.7,Tone 2,normal019_咳-e-Tone_2.mp3,speaker019,咳,e,Tone 2,normal,1,6,0.006571484,-0.064138306,0.227325304,2.662282864,2.110969047,0.329,194.943755,0,1,0
S07,native,1092.2,Tone 3,normal019_把-a-Tone_3.mp3,speaker019,把,a,Tone 3,normal,1,12,0.006571484,-0.064138306,0.646759137,2.792584988,1.417880834,0.428,178.1131283,0,1,1
S07,native,1833.5,Tone 3,normal019_雨-y-Tone_3.mp3,speaker019,雨,y,Tone 3,normal,1,13,0.003230937,-0.013150883,0.63123941,2.494342009,1.552175091,0.401,180.8293244,0,1,1
S07,native,1144.8,Tone 2,normal018_拔-a-Tone_2.mp3,speaker018,拔,a,Tone 2,normal,1,12,0.007184905,-0.162558023,1.570607824,1.566962826,0.442335533,0.231,100.2154484,0,1,0
S07,native,3347.7,Tone 3,normal019_无-u-Tone_2.mp3,speaker019,无,u,Tone 2,normal,0,3,0.006571484,-0.064138306,0.054265035,3.089273784,2.396940334,0.348,206.6645607,0,1,1
S07,native,2310.3,Tone 3,normal018_雨-y-Tone_3.mp3,speaker018,雨,y,Tone 3,normal,1,12,0.007184905,-0.162558023,1.756631745,0.691615339,0.104985279,0.341,87.68508553,0,1,1
S07,native,1146.8,Tone 2,normal019_鱼-y-Tone_2.mp3,speaker019,鱼,y,Tone 2,normal,1,1,0.003230937,-0.013150883,0.104438643,4.164859509,2.422680459,0.363,213.1801642,0,1,0
S07,native,1782.5,Tone 2,normal018_鱼-y-Tone_2.mp3,speaker018,鱼,y,Tone 2,normal,1,1,0.007184905,-0.162558023,1.500992839,2.073881961,0.568580764,0.316,110.1809622,0,1,0
